epoch,train_loss,val_macro_js,val_macro_kl,val_macro_accuracy,val_macro_entropy_correlation,train_hatespeech_loss,train_insult_loss,train_dehumanize_loss,train_violence_loss,train_genocide_loss
1,0.8700454940749015,0.21514012217521666,0.8109669089317322,0.5945344129554656,0.17798682413607195,0.5560295422463971,1.0454726833494639,1.154266641138605,0.9290789742046454,0.6653795602385056
2,0.7975946433665505,0.2122332215309143,0.8084138989448547,0.5932523616734143,0.1733393993307195,0.4997847093028992,0.9517821860906359,1.0933578641101622,0.8431645786231347,0.5998838143741002
3,0.7554842767996758,0.20797250270843506,0.8291519045829773,0.6090418353576248,0.17480343853623714,0.4680336514254089,0.895294553803322,1.0513385674938291,0.7957890254438371,0.5669655260614331
4,0.7153061507856866,0.2089822143316269,0.8220823526382446,0.5985155195681513,0.16793532335528807,0.44386476332062136,0.8424068240156886,1.0102762741426157,0.7470554384780523,0.532927398200908
