loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6903,8.372665405273438,1.986119144013881e-05,0.0578368999421631,100,,,,,,,,,
0.6254,8.81692123413086,1.9716599190283405e-05,0.1156737998843262,200,,,,,,,,,
0.5805,27.64916229248047,1.9572006940427994e-05,0.1735106998264893,300,,,,,,,,,
0.6165,29.414188385009766,1.9427414690572587e-05,0.2313475997686524,400,,,,,,,,,
0.6187,5.517442226409912,1.928282244071718e-05,0.2891844997108155,500,,,,,,,,,
0.5707,20.27033805847168,1.913823019086177e-05,0.3470213996529786,600,,,,,,,,,
0.5869,4.7136549949646,1.8993637941006365e-05,0.4048582995951417,700,,,,,,,,,
0.5556,3.3708510398864746,1.885049161364951e-05,0.4626951995373048,800,,,,,,,,,
0.5502,8.784862518310547,1.8705899363794102e-05,0.5205320994794679,900,,,,,,,,,
0.5907,5.936603546142578,1.8561307113938695e-05,0.578368999421631,1000,,,,,,,,,
0.5487,5.824718952178955,1.8416714864083288e-05,0.6362058993637941,1100,,,,,,,,,
0.5296,5.23565149307251,1.8272122614227877e-05,0.6940427993059572,1200,,,,,,,,,
0.5839,12.432345390319824,1.8127530364372474e-05,0.7518796992481203,1300,,,,,,,,,
0.5533,4.948397636413574,1.7982938114517063e-05,0.8097165991902834,1400,,,,,,,,,
0.5237,7.233508110046387,1.7838345864661656e-05,0.8675534991324465,1500,,,,,,,,,
0.5504,4.920794486999512,1.769375361480625e-05,0.9253903990746096,1600,,,,,,,,,
0.5577,9.032188415527344,1.7549161364950838e-05,0.9832272990167727,1700,,,,,,,,,
,,,1.0,1729,0.5292702913284302,3.5571,833.27,52.29,,,,,
0.5184,6.037912845611572,1.7404569115095434e-05,1.0410641989589358,1800,,,,,,,,,
0.4836,7.546597003936768,1.7259976865240024e-05,1.098901098901099,1900,,,,,,,,,
0.5396,6.746767044067383,1.7115384615384617e-05,1.156737998843262,2000,,,,,,,,,
0.4713,14.831869125366211,1.697079236552921e-05,1.214574898785425,2100,,,,,,,,,
0.5149,11.747272491455078,1.6826200115673802e-05,1.2724117987275883,2200,,,,,,,,,
0.4608,7.366068363189697,1.6681607865818395e-05,1.3302486986697513,2300,,,,,,,,,
0.5234,12.576410293579102,1.6537015615962985e-05,1.3880855986119145,2400,,,,,,,,,
0.5007,14.380975723266602,1.6392423366107578e-05,1.4459224985540775,2500,,,,,,,,,
0.4831,5.512213706970215,1.624783111625217e-05,1.5037593984962405,2600,,,,,,,,,
0.5256,6.871359825134277,1.6103238866396763e-05,1.5615962984384038,2700,,,,,,,,,
0.5072,10.823434829711914,1.5958646616541356e-05,1.6194331983805668,2800,,,,,,,,,
0.5382,11.799875259399414,1.5814054366685946e-05,1.67727009832273,2900,,,,,,,,,
0.5379,11.451118469238281,1.566946211683054e-05,1.735106998264893,3000,,,,,,,,,
0.5132,7.729691982269287,1.552486986697513e-05,1.792943898207056,3100,,,,,,,,,
0.5276,8.657373428344727,1.538172353961828e-05,1.8507807981492193,3200,,,,,,,,,
0.4738,7.009383678436279,1.523713128976287e-05,1.9086176980913823,3300,,,,,,,,,
0.4976,6.9606218338012695,1.5092539039907461e-05,1.9664545980335455,3400,,,,,,,,,
,,,2.0,3458,0.5701321363449097,3.7289,794.863,49.88,,,,,
0.4613,13.415560722351074,1.4947946790052055e-05,2.0242914979757085,3500,,,,,,,,,
0.4025,19.23479461669922,1.4803354540196647e-05,2.0821283979178715,3600,,,,,,,,,
0.4131,10.939566612243652,1.465876229034124e-05,2.1399652978600345,3700,,,,,,,,,
0.4102,36.10891342163086,1.451417004048583e-05,2.197802197802198,3800,,,,,,,,,
0.4083,14.007305145263672,1.4369577790630422e-05,2.255639097744361,3900,,,,,,,,,
0.4418,8.734220504760742,1.4224985540775016e-05,2.313475997686524,4000,,,,,,,,,
0.4397,13.897576332092285,1.4080393290919607e-05,2.371312897628687,4100,,,,,,,,,
0.4206,18.825162887573242,1.39358010410642e-05,2.42914979757085,4200,,,,,,,,,
0.4496,12.901888847351074,1.3791208791208792e-05,2.4869866975130135,4300,,,,,,,,,
0.4392,13.372963905334473,1.3646616541353384e-05,2.5448235974551765,4400,,,,,,,,,
0.4374,12.131749153137207,1.3502024291497977e-05,2.6026604973973395,4500,,,,,,,,,
0.4943,16.76313018798828,1.3357432041642568e-05,2.6604973973395025,4600,,,,,,,,,
0.4602,7.761737823486328,1.3212839791787161e-05,2.7183342972816655,4700,,,,,,,,,
0.4482,11.220029830932617,1.3068247541931754e-05,2.776171197223829,4800,,,,,,,,,
0.4832,13.239336013793945,1.2923655292076345e-05,2.834008097165992,4900,,,,,,,,,
0.4906,20.73379898071289,1.2779063042220938e-05,2.891844997108155,5000,,,,,,,,,
0.4307,15.111116409301758,1.263447079236553e-05,2.949681897050318,5100,,,,,,,,,
,,,3.0,5187,0.5953774452209473,3.7678,786.666,49.366,,,,,
0.4473,6.1946187019348145,1.2489878542510124e-05,3.007518796992481,5200,,,,,,,,,
0.397,24.366121292114258,1.2345286292654715e-05,3.0653556969346445,5300,,,,,,,,,
0.3648,15.261282920837402,1.2200694042799306e-05,3.1231925968768075,5400,,,,,,,,,
0.3951,15.936453819274902,1.2056101792943899e-05,3.1810294968189705,5500,,,,,,,,,
0.376,5.194540977478027,1.191150954308849e-05,3.2388663967611335,5600,,,,,,,,,
0.3262,13.188026428222656,1.1766917293233085e-05,3.2967032967032965,5700,,,,,,,,,
0.3888,5.800274848937988,1.1622325043377676e-05,3.35454019664546,5800,,,,,,,,,
0.3746,16.841922760009766,1.1477732793522267e-05,3.412377096587623,5900,,,,,,,,,
0.3939,21.529451370239258,1.133314054366686e-05,3.470213996529786,6000,,,,,,,,,
0.3854,5.928224563598633,1.1188548293811453e-05,3.528050896471949,6100,,,,,,,,,
0.3721,15.534581184387207,1.1043956043956046e-05,3.585887796414112,6200,,,,,,,,,
0.3903,28.098976135253906,1.0899363794100637e-05,3.6437246963562755,6300,,,,,,,,,
0.3511,12.015710830688477,1.0754771544245228e-05,3.7015615962984385,6400,,,,,,,,,
0.4009,16.882122039794922,1.0610179294389822e-05,3.7593984962406015,6500,,,,,,,,,
0.3584,17.10801887512207,1.0465587044534414e-05,3.8172353961827645,6600,,,,,,,,,
0.3965,15.793907165527344,1.0320994794679007e-05,3.8750722961249275,6700,,,,,,,,,
0.3398,11.316644668579102,1.0176402544823598e-05,3.932909196067091,6800,,,,,,,,,
0.3553,19.5111141204834,1.0031810294968189e-05,3.990746096009254,6900,,,,,,,,,
,,,4.0,6916,0.6679853200912476,3.9474,750.867,47.119,,,,,
0.3289,10.494889259338379,9.887218045112783e-06,4.048582995951417,7000,,,,,,,,,
0.3225,11.48930835723877,9.742625795257376e-06,4.1064198958935805,7100,,,,,,,,,
0.2858,15.335562705993652,9.598033545401967e-06,4.164256795835743,7200,,,,,,,,,
0.3127,15.48355484008789,9.453441295546559e-06,4.2220936957779065,7300,,,,,,,,,
0.2792,12.09486198425293,9.308849045691151e-06,4.279930595720069,7400,,,,,,,,,
0.3286,4.225964069366455,9.164256795835744e-06,4.3377674956622325,7500,,,,,,,,,
0.2954,13.74943733215332,9.019664545980337e-06,4.395604395604396,7600,,,,,,,,,
0.3101,15.09597396850586,8.875072296124928e-06,4.4534412955465585,7700,,,,,,,,,
0.3259,23.94534683227539,8.730480046269521e-06,4.511278195488722,7800,,,,,,,,,
