loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.2525,16.954681396484375,1.9694947569113443e-05,0.09532888465204957,100,,,,,,,,,
1.9692,18.840770721435547,1.9377184620273277e-05,0.19065776930409914,200,,,,,,,,,
1.9031,23.519638061523438,1.9062599300921512e-05,0.2859866539561487,300,,,,,,,,,
1.9095,13.798707962036133,1.874483635208135e-05,0.3813155386081983,400,,,,,,,,,
1.8056,43.511695861816406,1.8427073403241186e-05,0.47664442326024786,500,,,,,,,,,
1.9234,19.867042541503906,1.810931045440102e-05,0.5719733079122974,600,,,,,,,,,
1.9462,26.080617904663086,1.7791547505560853e-05,0.667302192564347,700,,,,,,,,,
1.7662,26.131006240844727,1.7473784556720687e-05,0.7626310772163966,800,,,,,,,,,
1.7437,21.661399841308594,1.7156021607880524e-05,0.8579599618684461,900,,,,,,,,,
1.8076,17.27373695373535,1.6838258659040357e-05,0.9532888465204957,1000,,,,,,,,,
,,,1.0,1049,1.78830087184906,2.5073,716.712,45.069,,,,,
1.7178,35.04289627075195,1.6520495710200194e-05,1.0486177311725453,1100,,,,,,,,,
1.7402,14.705584526062012,1.6202732761360028e-05,1.1439466158245948,1200,,,,,,,,,
1.6328,43.02614974975586,1.588496981251986e-05,1.2392755004766445,1300,,,,,,,,,
1.6704,12.913671493530273,1.5567206863679695e-05,1.334604385128694,1400,,,,,,,,,
1.7222,21.799345016479492,1.524944391483953e-05,1.4299332697807436,1500,,,,,,,,,
1.8155,33.26726150512695,1.4931680965999367e-05,1.5252621544327931,1600,,,,,,,,,
1.6842,25.20332908630371,1.46139180171592e-05,1.6205910390848426,1700,,,,,,,,,
1.7107,13.24485969543457,1.4296155068319035e-05,1.7159199237368923,1800,,,,,,,,,
1.5289,41.38519287109375,1.3978392119478869e-05,1.811248808388942,1900,,,,,,,,,
1.7082,31.001041412353516,1.3660629170638704e-05,1.9065776930409915,2000,,,,,,,,,
,,,2.0,2098,1.8007464408874512,2.5519,704.174,44.28,,,,,
1.6857,12.154808044433594,1.3342866221798538e-05,2.001906577693041,2100,,,,,,,,,
1.5783,25.696651458740234,1.3025103272958375e-05,2.0972354623450906,2200,,,,,,,,,
1.5627,11.988664627075195,1.270734032411821e-05,2.1925643469971403,2300,,,,,,,,,
1.5243,13.227133750915527,1.2392755004766445e-05,2.2878932316491896,2400,,,,,,,,,
1.4891,33.398231506347656,1.207499205592628e-05,2.3832221163012393,2500,,,,,,,,,
1.4648,40.718448638916016,1.1757229107086114e-05,2.478551000953289,2600,,,,,,,,,
1.4737,18.722837448120117,1.143946615824595e-05,2.573879885605338,2700,,,,,,,,,
1.5473,36.438026428222656,1.1121703209405785e-05,2.669208770257388,2800,,,,,,,,,
1.5277,33.48577880859375,1.080394026056562e-05,2.7645376549094376,2900,,,,,,,,,
1.4687,8.586532592773438,1.0486177311725453e-05,2.8598665395614873,3000,,,,,,,,,
1.5634,13.187295913696289,1.0168414362885288e-05,2.9551954242135365,3100,,,,,,,,,
,,,3.0,3147,1.9135100841522217,2.3535,763.537,48.013,,,,,
1.4588,39.33518981933594,9.850651414045122e-06,3.0505243088655862,3200,,,,,,,,,
1.307,26.800676345825195,9.532888465204957e-06,3.145853193517636,3300,,,,,,,,,
1.3724,13.37922191619873,9.215125516364792e-06,3.2411820781696856,3400,,,,,,,,,
1.3344,118.31407928466797,8.897362567524628e-06,3.336510962821735,3500,,,,,,,,,
1.3527,17.041658401489258,8.579599618684463e-06,3.4318398474737846,3600,,,,,,,,,
1.3325,37.308189392089844,8.261836669844296e-06,3.5271687321258343,3700,,,,,,,,,
1.3533,38.86402893066406,7.944073721004132e-06,3.622497616777884,3800,,,,,,,,,
1.4412,21.686429977416992,7.626310772163966e-06,3.717826501429933,3900,,,,,,,,,
1.2766,68.34841918945312,7.3085478233238e-06,3.813155386081983,4000,,,,,,,,,
1.4156,28.776273727416992,6.990784874483636e-06,3.908484270734032,4100,,,,,,,,,
,,,4.0,4196,1.9969985485076904,2.3577,762.174,47.927,,,,,
1.3003,10.675956726074219,6.67302192564347e-06,4.003813155386082,4200,,,,,,,,,
1.1476,27.47342872619629,6.355258976803306e-06,4.0991420400381315,4300,,,,,,,,,
1.228,28.290843963623047,6.03749602796314e-06,4.194470924690181,4400,,,,,,,,,
1.1629,80.4280776977539,5.722910708611377e-06,4.289799809342231,4500,,,,,,,,,
1.1773,63.8734016418457,5.408325389259613e-06,4.385128693994281,4600,,,,,,,,,
1.2826,39.511959075927734,5.0905624404194475e-06,4.480457578646329,4700,,,,,,,,,
1.1615,69.47771453857422,4.772799491579283e-06,4.575786463298379,4800,,,,,,,,,
1.1599,53.359676361083984,4.455036542739117e-06,4.671115347950429,4900,,,,,,,,,
1.2436,55.1207160949707,4.137273593898951e-06,4.7664442326024785,5000,,,,,,,,,
1.0209,44.934364318847656,3.819510645058787e-06,4.861773117254528,5100,,,,,,,,,
1.2676,22.05449676513672,3.5017476962186214e-06,4.957102001906578,5200,,,,,,,,,
,,,5.0,5245,2.175828695297241,2.3781,755.635,47.516,,,,,
1.1589,84.75627899169922,3.1839847473784558e-06,5.052430886558628,5300,,,,,,,,,
1.1177,47.453304290771484,2.8662217985382906e-06,5.147759771210676,5400,,,,,,,,,
1.0833,75.80154418945312,2.5484588496981253e-06,5.243088655862726,5500,,,,,,,,,
0.9605,66.38702392578125,2.23069590085796e-06,5.338417540514776,5600,,,,,,,,,
1.0506,47.61003494262695,1.912932952017795e-06,5.4337464251668255,5700,,,,,,,,,
1.0433,28.708356857299805,1.5951700031776295e-06,5.529075309818875,5800,,,,,,,,,
0.9511,30.66033172607422,1.2774070543374645e-06,5.624404194470925,5900,,,,,,,,,
1.1217,24.22124671936035,9.59644105497299e-07,5.719733079122975,6000,,,,,,,,,
1.0796,11.017914772033691,6.418811566571339e-07,5.815061963775024,6100,,,,,,,,,
1.0174,49.87334442138672,3.2411820781696855e-07,5.910390848427073,6200,,,,,,,,,
,,,6.0,6294,2.2363483905792236,2.4256,740.853,46.587,,,,,
,,,6.0,6294,,,,,605.7884,83.069,10.39,1914665396038956.0,1.448155563446617
