epoch,train_loss,val_macro_js,val_macro_kl,val_macro_accuracy,val_macro_entropy_correlation,train_hatespeech_loss,train_humiliate_loss,train_insult_loss
1,0.6538169554615489,0.14919698238372803,0.5354992548624674,0.5861232411450752,0.3103091181753254,0.4282568224891105,0.7661932216229544,0.7670007687821728
2,0.5294419229030609,0.14553691198428473,0.5248936514059702,0.5895196506550219,0.30500821644289033,0.32759122914778804,0.6443242549310445,0.6164102433501063
3,0.4910903420729485,0.13849579294522604,0.5215874016284943,0.58418243571082,0.31459437917715555,0.3044754377673826,0.6092230143066706,0.5595725288921258
4,0.46833303036209406,0.13983616729577383,0.5336635410785675,0.5909752547307132,0.3076279555659221,0.2915728313880412,0.5807901973074133,0.5326360270051465
5,0.4428490657331903,0.13764366010824838,0.5338991383711497,0.6031052886948084,0.29937837584860866,0.2810591725078789,0.552553505071551,0.49493448571725324
6,0.4190772243887552,0.13981428990761438,0.538782000541687,0.6055312954876274,0.3069413592711822,0.2660689221223684,0.5241553568869317,0.4670073619565448
7,0.39765409784762223,0.14048825204372406,0.5640313824017843,0.5880640465793304,0.28491695826474506,0.25488605851842966,0.4978871795483831,0.44018901998053606
8,0.3804468470431077,0.14158223072687784,0.5440243283907572,0.5967976710334789,0.3030644716415703,0.24788859673302063,0.47767208058945376,0.4157798355239322
