loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_kl_divergence,eval_js_divergence,eval_hard_accuracy,eval_entropy_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.655,6.237117767333984,1.9923655292076348e-05,0.0578368999421631,100,,,,,,,,,,,,,
0.5911,7.719597816467285,1.984731058415269e-05,0.1156737998843262,200,,,,,,,,,,,,,
0.5492,11.606836318969727,1.977019471756314e-05,0.1735106998264893,300,,,,,,,,,,,,,
0.5792,21.426706314086914,1.969307885097359e-05,0.2313475997686524,400,,,,,,,,,,,,,
0.5719,4.73610782623291,1.9616734143049934e-05,0.2891844997108155,500,,,,,,,,,,,,,
0.54,14.54250431060791,1.9539618276460384e-05,0.3470213996529786,600,,,,,,,,,,,,,
0.5538,5.540974140167236,1.946250240987083e-05,0.4048582995951417,700,,,,,,,,,,,,,
0.5344,3.9802627563476562,1.9385386543281282e-05,0.4626951995373048,800,,,,,,,,,,,,,
0.5363,8.207830429077148,1.9308270676691732e-05,0.5205320994794679,900,,,,,,,,,,,,,
0.5617,4.973873138427734,1.923115481010218e-05,0.578368999421631,1000,,,,,,,,,,,,,
0.5202,12.10932731628418,1.915403894351263e-05,0.6362058993637941,1100,,,,,,,,,,,,,
0.5229,5.435786724090576,1.907692307692308e-05,0.6940427993059572,1200,,,,,,,,,,,,,
0.5692,11.986227989196777,1.8999807210333527e-05,0.7518796992481203,1300,,,,,,,,,,,,,
0.5318,4.110199928283691,1.8922691343743978e-05,0.8097165991902834,1400,,,,,,,,,,,,,
0.5021,4.679333686828613,1.8845575477154425e-05,0.8675534991324465,1500,,,,,,,,,,,,,
0.5347,3.2906792163848877,1.8768459610564875e-05,0.9253903990746096,1600,,,,,,,,,,,,,
0.5352,5.97627067565918,1.8691343743975325e-05,0.9832272990167727,1700,,,,,,,,,,,,,
,,,1.0,1729,0.5167762637138367,0.5167762637138367,0.14119544625282288,0.7675438596491229,0.24705566387937747,3.4665,855.053,53.657,,,,,
0.4909,8.90780258178711,1.8614227877385772e-05,1.0410641989589358,1800,,,,,,,,,,,,,
0.4707,5.3288679122924805,1.8537112010796223e-05,1.098901098901099,1900,,,,,,,,,,,,,
0.5296,6.1318254470825195,1.845999614420667e-05,1.156737998843262,2000,,,,,,,,,,,,,
0.4556,12.174732208251953,1.838288027761712e-05,1.214574898785425,2100,,,,,,,,,,,,,
0.497,10.297574996948242,1.830576441102757e-05,1.2724117987275883,2200,,,,,,,,,,,,,
0.4439,10.133075714111328,1.8228648544438018e-05,1.3302486986697513,2300,,,,,,,,,,,,,
0.4985,10.375563621520996,1.8151532677848468e-05,1.3880855986119145,2400,,,,,,,,,,,,,
0.4793,11.405412673950195,1.8074416811258915e-05,1.4459224985540775,2500,,,,,,,,,,,,,
0.4736,7.193960666656494,1.7997300944669366e-05,1.5037593984962405,2600,,,,,,,,,,,,,
0.5136,6.30913782119751,1.7920185078079816e-05,1.5615962984384038,2700,,,,,,,,,,,,,
0.4958,5.60896635055542,1.784384037015616e-05,1.6194331983805668,2800,,,,,,,,,,,,,
0.526,6.682529926300049,1.776672450356661e-05,1.67727009832273,2900,,,,,,,,,,,,,
0.5314,10.16269302368164,1.768960863697706e-05,1.735106998264893,3000,,,,,,,,,,,,,
0.4826,12.325849533081055,1.7612492770387507e-05,1.792943898207056,3100,,,,,,,,,,,,,
0.5059,4.800447463989258,1.7535376903797957e-05,1.8507807981492193,3200,,,,,,,,,,,,,
0.463,5.747929096221924,1.7458261037208408e-05,1.9086176980913823,3300,,,,,,,,,,,,,
0.4865,3.894770622253418,1.7381145170618855e-05,1.9664545980335455,3400,,,,,,,,,,,,,
,,,2.0,3458,0.5507746338844299,0.5507746934890747,0.13092166185379028,0.7682186234817814,0.2590165476810119,5.6116,528.188,33.145,,,,,
0.4425,25.18518829345703,1.7304029304029305e-05,2.0242914979757085,3500,,,,,,,,,,,,,
0.3932,13.493328094482422,1.7226913437439755e-05,2.0821283979178715,3600,,,,,,,,,,,,,
0.4033,8.546880722045898,1.7149797570850203e-05,2.1399652978600345,3700,,,,,,,,,,,,,
