epoch,train_loss,val_kl_divergence,val_js_divergence,val_hard_accuracy,val_entropy_correlation,val_entropy_mae,val_eval_loss
1,0.3717886406889896,0.33489423990249634,0.10200570523738861,0.696165191740413,0.05268524713374132,0.4783351719379425,0.33546552027380744
2,0.3418244658825324,0.33519861102104187,0.0988895446062088,0.6799410029498525,0.06572399543419512,0.4384714365005493,0.3358451730983202
3,0.33615446597644966,0.33125460147857666,0.0994560644030571,0.6666666666666666,0.07279078032256914,0.45889902114868164,0.3319562132968459
4,0.3245738670998013,0.3352731466293335,0.10044163465499878,0.6297935103244838,0.05535045347613445,0.46078693866729736,0.3361615455427835
5,0.31693399962537067,0.35692888498306274,0.09957863390445709,0.616519174041298,0.06088389177221639,0.3859315514564514,0.35800557011781736
